"대여일자","누적횟수","기온C","풍속ms","강수량mm","습도"
2021-01-01,676,-3.85833333333333,1.0375,0,58.5875
2021-01-02,649,-3.44583333333333,1.67083333333333,0,32.0583333333333
2021-01-03,574,-4.3875,1.425,0,39.4375
2021-01-04,1003,-3.13333333333333,0.85,0,48.875
2021-01-05,891,-3.61666666666667,1.95833333333333,0,45.6416666666667
2021-01-06,642,-6.26666666666667,1.36666666666667,0.25,52.05
2021-01-07,106,-12.7791666666667,2.8875,0,49.25
2021-01-08,150,-13.8041666666667,2.17083333333333,0,41.75
2021-01-09,154,-11.5125,1.53333333333333,0,43.575
2021-01-10,217,-8.4,0.6875,0,56.0958333333333
2021-01-11,417,-6.93333333333333,0.479166666666667,0,69.0875
2021-01-12,273,-4.325,0.825,0.0833333333333333,82.2541666666667
2021-01-13,477,2.24583333333333,1.12916666666667,0,83.8333333333333
2021-01-14,837,1.2125,0.595833333333333,0,56.4458333333333
2021-01-15,952,4.47083333333333,1.3875,0,69.2541666666667
2021-01-16,614,-3.0125,2.15833333333333,0,55.3208333333333
2021-01-17,493,-4.9,1.4125,0,49.4458333333333
2021-01-18,425,-2.45833333333333,1.7,0.0208333333333333,68.4041666666667
2021-01-19,755,-5.90416666666667,0.929166666666667,0,37.6916666666667
2021-01-20,1075,-1.29583333333333,0.695833333333333,0,45.8166666666667
2021-01-22,1050,5.45,0.620833333333333,0.0208333333333333,94.9916666666667
2021-01-23,1209,7.57916666666667,1.04166666666667,0,68.675
2021-01-24,1326,6.12916666666667,0.525,0,69.6416666666667
2021-01-25,1695,6.35833333333333,0.495833333333333,0,70.775
2021-01-26,715,5.76666666666667,0.966666666666667,0.104166666666667,81.2
2021-01-27,1415,3.44166666666667,1.3375,0,40.375
2021-01-28,677,-0.979166666666667,2.525,0.0625,49.8958333333333
2021-01-29,689,-7.46666666666667,2.56666666666667,0,32.9333333333333
2021-01-30,821,-1.4,1.29583333333333,0,54.375
2021-01-31,1089,3.00416666666667,0.879166666666667,0,63.6875
2021-02-01,1215,7.02916666666667,1.63333333333333,0.0416666666666667,76.5875
2021-02-02,883,-3.85416666666667,2.61666666666667,0,38.675
2021-02-03,921,-2.875,1.625,0.0625,54.175
2021-02-04,542,-2.05,1.79166666666667,0.0416666666666667,47.9541666666667
2021-02-05,1143,1.52916666666667,1.24583333333333,0,60.825
2021-02-06,1112,7.14583333333333,1.42916666666667,0,69.425
2021-02-07,977,5.35416666666667,1.99583333333333,0,62.9375
2021-02-08,1074,-1.6,2.50416666666667,0,37.7583333333333
2021-02-09,1226,-0.3,1.32916666666667,0,43.775
2021-02-10,1533,3.33333333333333,1.05833333333333,0,67.2958333333333
2021-02-11,1005,5.10416666666667,0.604166666666667,0,72.2083333333333
2021-02-12,1098,5.5625,0.5875,0,65.2
2021-02-13,1467,6.07916666666667,0.595833333333333,0,60.7625
2021-02-14,1247,9.275,0.6,0,49.7458333333333
2021-02-15,992,3.27916666666667,2.79583333333333,0.0208333333333333,57.8916666666667
2021-02-17,680,-7.175,3.525,0,37.0041666666667
2021-02-18,851,-4.9625,2.35833333333333,0,35.8958333333333
2021-02-19,1316,1.61666666666667,1.65833333333333,0,55.7208333333333
2021-02-20,1699,8.69166666666667,1.19166666666667,0,59.4791666666667
2021-02-21,1913,10.625,1.41666666666667,0,60.8291666666667
2021-02-22,1675,8.98333333333333,1.86666666666667,0,56.2958333333333
2021-02-23,1335,1.61666666666667,1.99583333333333,0,25.5875
2021-02-24,1616,3.3125,1.03333333333333,0,25.5041666666667
2021-02-25,1591,4.325,0.625,0,36.0166666666667
2021-02-26,1954,7.93333333333333,1.03333333333333,0,31.7583333333333
2021-02-27,1840,9.55,1.42916666666667,0,43.5166666666667
2021-02-28,1658,7.89583333333333,0.8875,0,44.1125
2021-03-01,89,5.37916666666667,1.35,2.89583333333333,86.3916666666667
2021-03-02,1488,3.20833333333333,1.0625,0.0208333333333333,68.0166666666667
2021-03-03,1901,4.3375,1.15,0,61.95
2021-03-04,205,6.8875,0.904166666666667,0,60.6
2021-03-05,2139,8.69583333333333,1.03333333333333,0,68.0916666666667
2021-03-06,1523,7.32083333333333,1.3625,0,65.3291666666667
2021-03-07,1729,6.725,1.16666666666667,0,54.7875
2021-03-08,2129,7.19166666666667,0.9625,0,58.2666666666667
2021-03-10,2088,8.82916666666667,0.866666666666667,0,59.5791666666667
2021-03-11,1961,10.2375,1.0125,0,51.5125
2021-03-12,1603,11.2291666666667,1.07916666666667,0,48.7083333333333
2021-03-13,1838,10.0375,1.22083333333333,0,57.025
2021-03-14,1845,9.45,1.4625,0,66.1291666666667
2021-03-15,2051,10.95,1.4375,0,60.2416666666667
2021-03-16,1822,9.96666666666667,1.94583333333333,0.0833333333333333,51.0416666666667
2021-03-17,2176,9.50833333333333,1.08333333333333,0,39.9875
2021-03-18,2335,11.5125,0.895833333333333,0,49.5958333333333
2021-03-19,2759,15.5791666666667,1.39166666666667,0,42.3916666666667
2021-03-20,575,10.6291666666667,1.39166666666667,0.166666666666667,71.8083333333333
2021-03-21,1511,7.09583333333333,2.525,0,62.6291666666667
2021-03-22,2296,7.075,2.20416666666667,0,44.3
2021-03-23,2567,9.42916666666667,1.60833333333333,0,57.05
2021-03-24,2729,11.15,1.49583333333333,0,54.95
2021-03-25,2783,12.7375,1.35416666666667,0,59.6958333333333
2021-03-26,2814,12.425,0.816666666666667,0,57.6958333333333
2021-03-27,560,12.0166666666667,0.641666666666667,0.75,69.6583333333333
2021-03-28,959,10.2333333333333,1.88333333333333,0.270833333333333,93.975
